City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,bam,29.106,58.357,34.15,14,19,7.83,IR,1691648815
335,nizhnesortymskiy,62.4397,71.7603,10.22,81,44,8.82,RU,1691648897
336,rio gallegos,-51.6226,-69.2181,1.03,93,0,0.51,AR,1691648732
337,porto novo,6.4965,2.6036,25.9,88,99,3.09,BJ,1691648858
338,riacho de santana,-13.6092,-42.9389,19.48,62,1,3.79,BR,1691648898
339,kupang,-10.1667,123.5833,28.32,69,75,2.57,ID,1691648898
340,the pas,53.8251,-101.2541,9.01,87,0,1.03,CA,1691648899
341,hirara,24.8,125.2833,31.92,79,40,4.12,JP,1691648899
342,kolonia,50.9333,6.95,15.23,78,0,1.03,DE,1691648900
343,mananara,-16.1667,49.7667,22.86,75,43,2.89,MG,1691648901
344,guerrero negro,27.9769,-114.0611,21.29,86,4,6.05,MX,1691648902
345,bijelo polje,43.0337,19.747,15.55,81,100,1.39,ME,1691648902
346,gewane,10.1664,40.6453,28.0,50,92,7.22,ET,1691648903
347,chernyshevsk,52.5243,117.0174,17.43,85,100,1.51,RU,1691648903
348,tsiombe,-25.3,45.4833,20.59,67,51,5.68,MG,1691648904
349,magistral'nyy,56.1725,107.4458,16.92,98,100,1.97,RU,1691648904
350,ebon,4.582,168.6964,28.0,76,87,2.86,MH,1691648904
351,goz beida,13.95,20.55,23.82,81,83,4.17,TD,1691648905
352,acapulco de juarez,16.8634,-99.8901,28.9,79,100,1.54,MX,1691648905
353,darab,28.7519,54.5444,35.77,17,16,5.07,IR,1691648906
354,ugoofaaru,5.6667,73.0,28.1,78,100,6.04,MV,1691648906
355,magadan,59.5667,150.8,20.85,60,7,4.13,RU,1691648906
356,pariaman,-0.619,100.12,30.03,80,47,3.49,ID,1691648907
357,alofi,-19.0595,-169.9187,23.94,94,12,1.03,NU,1691648724
358,labuan,5.2767,115.2417,31.2,58,20,2.68,MY,1691648908
359,gillette,44.2911,-105.5022,17.51,59,0,2.85,US,1691648908
360,oamaru,-45.0784,170.9801,4.65,61,12,3.58,NZ,1691648908
361,bodo,67.28,14.405,16.64,72,0,8.75,NO,1691648909
